name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Garden Food Mart,"1302 Gardina St, San Antonio, TX 78201, USA",29.4798684,-98.5352375,Not listed,"atm, convenience_store, establishment, finance, food, gas_station, point_of_interest, store",ChIJT84c31FeXIYRD6QbIBL5Z-0,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISING KALE FARMS,"2230 Weil Rd, Marion, TX 78124, USA",29.595221,-98.1891969,http://www.risingkalefarms.com/,"establishment, point_of_interest",ChIJtyQqQ0WUXIYRIPtAzPuO0SM,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growing Tx Greens Emporium,"2314 S Flores St Ste 2, San Antonio, TX 78204, USA",29.40113,-98.5038059,Not listed,"establishment, point_of_interest",ChIJZXs0IbhZXIYRN-aaW7-7BwQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Harvest Farms,"2045 TX-173, Devine, TX 78016, USA",29.0997298,-98.8690728,http://www.cleanharvestfarms.com/,"establishment, point_of_interest",ChIJTYwR6dXLXYYRiTojJtAQ-Vk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Gardens,"8516 Bandera Rd, San Antonio, TX 78250, USA",29.521745,-98.6378288,https://www.rainbowgardens.biz/garden-center/,"establishment, food, general_contractor, point_of_interest, store",ChIJv0DmnuxnXIYRg4wBZzdhq58,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocalSprout Food Hub,"503 Chestnut St, San Antonio, TX 78202, USA",29.4266267,-98.4793434,http://www.localsprout.com/,"cafe, establishment, food, point_of_interest, store",ChIJZfqwF8P1XIYRdMtRH6UZA6A,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Green Star, LLC","4122 Cowling Rd, Sanger, TX 76266, USA",33.3213005,-97.1735839,http://www.texasgreenstar.com/,"establishment, point_of_interest",ChIJJV98t2-zTYYRu1SyCH40mD4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Harvest Hydroponics & Organics,"3101 Avenue E, Arlington, TX 76011, USA",32.7571817,-97.0521129,http://www.abhydro.com/,"establishment, point_of_interest, store",ChIJJ-LSKgOHToYRsyQ6k9vLiLE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrueHarvest Farms, LLC","111 Trueharvest Wy, Belton, TX 76513, USA",31.0846205,-97.4877426,http://www.trueharvestfarms.com/,"establishment, point_of_interest",ChIJuYR_129BRYYRrPxBTyPIOQo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pristine Produce,"723 SE Loop 410 Acc Rd, San Antonio, TX 78220, USA",29.4162973,-98.3904307,http://www.pristineproducesatx.com/,"establishment, food, point_of_interest",ChIJleIWlahnXIYRJ1zwRNgyZ1Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Gardens,"2585 Thousand Oaks Dr, San Antonio, TX 78232, USA",29.5848318,-98.4484274,https://www.rainbowgardens.biz/garden-center/,"establishment, furniture_store, home_goods_store, point_of_interest, store",ChIJM2W-4UiKXIYRXvSi9PPHw0M,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
