Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,ObjectId
1195125,Nutritional Products of Texas 10,1111 W Ledbetter Dr,Dallas,TX,75224,4960,DALLAS,Grocery Store,32.691338,-96.841042,115571
1195132,Nutritional Products of Texas 18,3312 N Buckner Blvd,Dallas,TX,75228,5650,DALLAS,Grocery Store,32.805401,-96.682335,115576
1523774,Sprouts Farmers Market 160,6465 E Mockingbird Ln,Dallas,TX,75214,2473,DALLAS,Supermarket,32.837482,-96.751335,115624
1229243,Sprouts Farmers Market 145,3001 Lakeview Pkwy,Rowlett,TX,75088,    ,DALLAS,Supermarket,32.907711,-96.57357,116560
1031912,Kea Import Foods,580 Castleglen Dr,Garland,TX,75043,5804,DALLAS,Grocery Store,32.845242,-96.594032,116573
1133420,El Rancho 1626,1540 S 1st St,Garland,TX,75040,7942,DALLAS,Super Store,32.898632,-96.630829,116913
1627116,Wooltari Mall,1016 W Trinity Mills Rd,Carrollton,TX,75006,1336,DALLAS,Grocery Store,32.983974,-96.911377,118654
1276704,Lmmm Dallas 42 Ltd. 42,1109 E Highway 67,Duncanville,TX,75137,2701,DALLAS,Supermarket,32.645748,-96.887199,119322
1312430,Grocery Services North 9,2851 Dairy Rd.,Garland,TX,75041,    ,DALLAS,Grocery Store,32.882473,-96.622261,119591
1668279,Mecca Market 140,6504 Highway 78,Sachse,TX,75048,3259,DALLAS,Grocery Store,32.98019,-96.588478,119858
1250321,ALDI 75086 75086,2601 W Bardin Rd,Grand Prairie,TX,75052,    ,DALLAS,Supermarket,32.672253,-97.044518,119901
1170550,Grocery Services North 8,828 S Carrier Pkwy,Grand Prairie,TX,75051,    ,DALLAS,Grocery Store,32.735748,-97.015541,120045
1172796,Walmart Neighborhood Market 6851,6750 Murphy Rd,Sachse,TX,75048,    ,DALLAS,Super Store,32.983154,-96.61335,120826
1582353,Sheger Grocery,10190 Forest Ln,Dallas,TX,75243,5033,DALLAS,Grocery Store,32.908649,-96.709991,122503
1315493,WinCo Foods 146,2620 N Josey Ln,Carrollton,TX,75007,5599,DALLAS,Supermarket,32.987179,-96.890694,122967
1577819,Cox Farms Market,778 Fort Worth Ave,Dallas,TX,75208,1805,DALLAS,Supermarket,32.769218,-96.835129,123501
1345640,Lmmm Dallas 5 Ltd,934 E Grauwyler Rd,Irving,TX,75061,2802,DALLAS,Supermarket,32.829613,-96.934494,123784
1282590,Costco 1266,8055 Churchill Way,Dallas,TX,75251,    ,DALLAS,Super Store,32.918381,-96.769753,124729
1282744,Walmart 4503,2650 S STATE HIGHWAY 161,GRAND PRAIRIE,TX,75052,    ,DALLAS,Super Store,32.707203,-97.021698,125162
1203561,Nutritional Products of Texas 22,1111 W Airport Fwy,Irving,TX,75062,6204,DALLAS,Grocery Store,32.837364,-96.959717,125938
1316119,Jf African & Asian Market,1741 N Galloway Ave,Mesquite,TX,75149,2256,DALLAS,Other,32.786713,-96.606071,126129
1346258,Food-rite Market,2215 S Marsalis Ave,Dallas,TX,75216,2312,DALLAS,Supermarket,32.720852,-96.814606,127166
