GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US48201310700,Census Tract 3107; Harris County; Texas,3342,635
1400000US48201310800,Census Tract 3108; Harris County; Texas,3124,459
1400000US48201310900,Census Tract 3109; Harris County; Texas,4145,779
1400000US48201311001,Census Tract 3110.01; Harris County; Texas,2746,784
1400000US48201311002,Census Tract 3110.02; Harris County; Texas,3516,1115
1400000US48201311100,Census Tract 3111; Harris County; Texas,5091,687
1400000US48201311200,Census Tract 3112; Harris County; Texas,4523,1394
1400000US48201311300,Census Tract 3113; Harris County; Texas,4120,801
1400000US48201311400,Census Tract 3114; Harris County; Texas,1668,426
1400000US48201311501,Census Tract 3115.01; Harris County; Texas,2464,597
1400000US48201311502,Census Tract 3115.02; Harris County; Texas,2610,674
1400000US48201311600,Census Tract 3116; Harris County; Texas,3614,1107
1400000US48201311701,Census Tract 3117.01; Harris County; Texas,3554,635
1400000US48201311702,Census Tract 3117.02; Harris County; Texas,1917,1105
1400000US48201311800,Census Tract 3118; Harris County; Texas,3646,856
1400000US48201311900,Census Tract 3119; Harris County; Texas,1629,270
1400000US48201312000,Census Tract 3120; Harris County; Texas,2970,329
1400000US48201312200,Census Tract 3122; Harris County; Texas,1609,363
1400000US48201312300,Census Tract 3123; Harris County; Texas,2733,450
1400000US48201312400,Census Tract 3124; Harris County; Texas,2048,928
1400000US48201312501,Census Tract 3125.01; Harris County; Texas,3348,459
1400000US48201312502,Census Tract 3125.02; Harris County; Texas,2089,358
1400000US48201312601,Census Tract 3126.01; Harris County; Texas,3366,522
1400000US48201312602,Census Tract 3126.02; Harris County; Texas,2519,345
1400000US48201312603,Census Tract 3126.03; Harris County; Texas,4160,1312
1400000US48201312700,Census Tract 3127; Harris County; Texas,2293,496
1400000US48201312800,Census Tract 3128; Harris County; Texas,3752,360
1400000US48201312901,Census Tract 3129.01; Harris County; Texas,1869,339
1400000US48201312902,Census Tract 3129.02; Harris County; Texas,2391,573
1400000US48201313000,Census Tract 3130; Harris County; Texas,2401,712
1400000US48201313101,Census Tract 3131.01; Harris County; Texas,2555,402
1400000US48201313102,Census Tract 3131.02; Harris County; Texas,1789,284
1400000US48201313201,Census Tract 3132.01; Harris County; Texas,1632,335
1400000US48201313202,Census Tract 3132.02; Harris County; Texas,2629,475
1400000US48201313300,Census Tract 3133; Harris County; Texas,2702,493
1400000US48201313400,Census Tract 3134; Harris County; Texas,3803,688
1400000US48201313500,Census Tract 3135; Harris County; Texas,1781,351
1400000US48201313600,Census Tract 3136; Harris County; Texas,4618,1224
1400000US48201313700,Census Tract 3137; Harris County; Texas,2327,417
1400000US48201313801,Census Tract 3138.01; Harris County; Texas,1549,368
1400000US48201313802,Census Tract 3138.02; Harris County; Texas,2707,662
1400000US48201313901,Census Tract 3139.01; Harris County; Texas,3964,880
1400000US48201313902,Census Tract 3139.02; Harris County; Texas,2706,456
1400000US48201314001,Census Tract 3140.01; Harris County; Texas,3169,530
1400000US48201314003,Census Tract 3140.03; Harris County; Texas,2689,486
1400000US48201314004,Census Tract 3140.04; Harris County; Texas,2183,531
1400000US48201314005,Census Tract 3140.05; Harris County; Texas,2679,408
1400000US48201314301,Census Tract 3143.01; Harris County; Texas,2226,475
1400000US48201314302,Census Tract 3143.02; Harris County; Texas,1650,269
1400000US48201314401,Census Tract 3144.01; Harris County; Texas,1510,233
1400000US48201314402,Census Tract 3144.02; Harris County; Texas,2037,356
1400000US48201320100,Census Tract 3201; Harris County; Texas,2253,542
1400000US48201320201,Census Tract 3202.01; Harris County; Texas,2983,1869
1400000US48201320202,Census Tract 3202.02; Harris County; Texas,3033,569
1400000US48201320500,Census Tract 3205; Harris County; Texas,4097,723
1400000US48201320601,Census Tract 3206.01; Harris County; Texas,2104,286
1400000US48201320602,Census Tract 3206.02; Harris County; Texas,4365,966
1400000US48201320700,Census Tract 3207; Harris County; Texas,3397,548
1400000US48201320800,Census Tract 3208; Harris County; Texas,4740,744
1400000US48201320901,Census Tract 3209.01; Harris County; Texas,2816,1034
1400000US48201320902,Census Tract 3209.02; Harris County; Texas,3685,905
1400000US48201321001,Census Tract 3210.01; Harris County; Texas,2805,544
1400000US48201321002,Census Tract 3210.02; Harris County; Texas,5200,968
1400000US48201321101,Census Tract 3211.01; Harris County; Texas,3896,414
1400000US48201321102,Census Tract 3211.02; Harris County; Texas,4274,1325
1400000US48201321200,Census Tract 3212; Harris County; Texas,5008,840
1400000US48201321301,Census Tract 3213.01; Harris County; Texas,3718,1021
1400000US48201321302,Census Tract 3213.02; Harris County; Texas,1929,407
1400000US48201321401,Census Tract 3214.01; Harris County; Texas,3726,686
1400000US48201321402,Census Tract 3214.02; Harris County; Texas,4867,887
1400000US48201321500,Census Tract 3215; Harris County; Texas,2700,575
1400000US48201321600,Census Tract 3216; Harris County; Texas,6937,1071
1400000US48201321700,Census Tract 3217; Harris County; Texas,3202,472
1400000US48201321800,Census Tract 3218; Harris County; Texas,4101,636
1400000US48201321900,Census Tract 3219; Harris County; Texas,5314,1112
1400000US48201322000,Census Tract 3220; Harris County; Texas,4240,851
1400000US48201322100,Census Tract 3221; Harris County; Texas,3883,675
1400000US48201322200,Census Tract 3222; Harris County; Texas,1670,442
1400000US48201322600,Census Tract 3226; Harris County; Texas,4985,847
1400000US48201322701,Census Tract 3227.01; Harris County; Texas,2882,673
1400000US48201322702,Census Tract 3227.02; Harris County; Texas,4356,944
1400000US48201322800,Census Tract 3228; Harris County; Texas,5509,949
1400000US48201322900,Census Tract 3229; Harris County; Texas,3755,694
1400000US48201323000,Census Tract 3230; Harris County; Texas,6571,1119
1400000US48201323100,Census Tract 3231; Harris County; Texas,3503,940
1400000US48201323200,Census Tract 3232; Harris County; Texas,6023,972
1400000US48201323300,Census Tract 3233; Harris County; Texas,3278,573
1400000US48201323400,Census Tract 3234; Harris County; Texas,6940,1482
1400000US48201323500,Census Tract 3235; Harris County; Texas,5525,1008
1400000US48201323601,Census Tract 3236.01; Harris County; Texas,4141,1019
1400000US48201323602,Census Tract 3236.02; Harris County; Texas,4299,865
1400000US48201323701,Census Tract 3237.01; Harris County; Texas,4269,792
1400000US48201323702,Census Tract 3237.02; Harris County; Texas,3622,839
1400000US48201323801,Census Tract 3238.01; Harris County; Texas,4084,1225
1400000US48201323802,Census Tract 3238.02; Harris County; Texas,5026,786
1400000US48201323900,Census Tract 3239; Harris County; Texas,3268,506
1400000US48201324000,Census Tract 3240; Harris County; Texas,6065,670
1400000US48201324101,Census Tract 3241.01; Harris County; Texas,5105,880
1400000US48201324102,Census Tract 3241.02; Harris County; Texas,0,15
1400000US48201324200,Census Tract 3242; Harris County; Texas,728,145
1400000US48201330101,Census Tract 3301.01; Harris County; Texas,5251,867
1400000US48201330102,Census Tract 3301.02; Harris County; Texas,2022,474
1400000US48201330200,Census Tract 3302; Harris County; Texas,6130,1792
1400000US48201330301,Census Tract 3303.01; Harris County; Texas,7924,1263
1400000US48201330302,Census Tract 3303.02; Harris County; Texas,5141,515
1400000US48201330303,Census Tract 3303.03; Harris County; Texas,4734,771
1400000US48201330400,Census Tract 3304; Harris County; Texas,5047,983
1400000US48201330500,Census Tract 3305; Harris County; Texas,5466,1038
1400000US48201330600,Census Tract 3306; Harris County; Texas,7148,953
1400000US48201330700,Census Tract 3307; Harris County; Texas,8886,1278
1400000US48201330801,Census Tract 3308.01; Harris County; Texas,6752,1421
1400000US48201330802,Census Tract 3308.02; Harris County; Texas,10276,1568
1400000US48201330901,Census Tract 3309.01; Harris County; Texas,10349,1829
1400000US48201330902,Census Tract 3309.02; Harris County; Texas,3665,892
1400000US48201331100,Census Tract 3311; Harris County; Texas,4129,677
1400000US48201331200,Census Tract 3312; Harris County; Texas,5016,1280
1400000US48201331300,Census Tract 3313; Harris County; Texas,5819,1263
1400000US48201331400,Census Tract 3314; Harris County; Texas,3353,1379
1400000US48201331501,Census Tract 3315.01; Harris County; Texas,4551,869
1400000US48201331502,Census Tract 3315.02; Harris County; Texas,6146,871
1400000US48201331602,Census Tract 3316.02; Harris County; Texas,3337,510
1400000US48201331603,Census Tract 3316.03; Harris County; Texas,4532,984
1400000US48201331604,Census Tract 3316.04; Harris County; Texas,2690,663
1400000US48201331700,Census Tract 3317; Harris County; Texas,3840,923
1400000US48201331800,Census Tract 3318; Harris County; Texas,4268,836
1400000US48201331900,Census Tract 3319; Harris County; Texas,3361,718
1400000US48201332000,Census Tract 3320; Harris County; Texas,5918,939
1400000US48201332100,Census Tract 3321; Harris County; Texas,3173,761
1400000US48201332200,Census Tract 3322; Harris County; Texas,4861,882
1400000US48201332300,Census Tract 3323; Harris County; Texas,2910,657
1400000US48201332400,Census Tract 3324; Harris County; Texas,4057,849
1400000US48201332500,Census Tract 3325; Harris County; Texas,3410,549
1400000US48201332600,Census Tract 3326; Harris County; Texas,6387,1192
1400000US48201332700,Census Tract 3327; Harris County; Texas,2319,409
1400000US48201332800,Census Tract 3328; Harris County; Texas,4588,719
1400000US48201332900,Census Tract 3329; Harris County; Texas,4635,885
1400000US48201333000,Census Tract 3330; Harris County; Texas,3528,833
1400000US48201333100,Census Tract 3331; Harris County; Texas,3567,443
1400000US48201333201,Census Tract 3332.01; Harris County; Texas,5266,759
1400000US48201333203,Census Tract 3332.03; Harris County; Texas,2171,827
1400000US48201333204,Census Tract 3332.04; Harris County; Texas,2338,1023
1400000US48201333205,Census Tract 3332.05; Harris County; Texas,1384,278
1400000US48201333301,Census Tract 3333.01; Harris County; Texas,4541,1323
1400000US48201333302,Census Tract 3333.02; Harris County; Texas,3515,830
1400000US48201333501,Census Tract 3335.01; Harris County; Texas,3311,652
1400000US48201333502,Census Tract 3335.02; Harris County; Texas,2504,517
1400000US48201333600,Census Tract 3336; Harris County; Texas,3219,1001
1400000US48201333700,Census Tract 3337; Harris County; Texas,4138,548
1400000US48201333801,Census Tract 3338.01; Harris County; Texas,4084,1418
1400000US48201333802,Census Tract 3338.02; Harris County; Texas,6105,652
1400000US48201333903,Census Tract 3339.03; Harris County; Texas,3720,722
1400000US48201333904,Census Tract 3339.04; Harris County; Texas,6275,2358
1400000US48201333905,Census Tract 3339.05; Harris County; Texas,3448,950
1400000US48201333906,Census Tract 3339.06; Harris County; Texas,5712,1057
1400000US48201334001,Census Tract 3340.01; Harris County; Texas,2880,455
1400000US48201334002,Census Tract 3340.02; Harris County; Texas,2420,624
1400000US48201334003,Census Tract 3340.03; Harris County; Texas,5903,739
1400000US48201334101,Census Tract 3341.01; Harris County; Texas,9558,1556
1400000US48201334102,Census Tract 3341.02; Harris County; Texas,6742,1114
1400000US48201340101,Census Tract 3401.01; Harris County; Texas,1610,405
1400000US48201340102,Census Tract 3401.02; Harris County; Texas,5498,584
1400000US48201340201,Census Tract 3402.01; Harris County; Texas,0,15
1400000US48201340202,Census Tract 3402.02; Harris County; Texas,8505,844
1400000US48201340203,Census Tract 3402.03; Harris County; Texas,4608,668
1400000US48201340301,Census Tract 3403.01; Harris County; Texas,3541,269
1400000US48201340302,Census Tract 3403.02; Harris County; Texas,6889,1120
1400000US48201340400,Census Tract 3404; Harris County; Texas,1070,104
1400000US48201340501,Census Tract 3405.01; Harris County; Texas,3754,538
1400000US48201340502,Census Tract 3405.02; Harris County; Texas,2216,673
